Date;Client;ClientMACAddress;BaseRadioMAC;Slot;UserName;IPAddress;Reason;ReasonCode;TxPkts;TxBytes;RxPkts;RxBytes
2021-02-02 17:16:32;Association;de:d5:c4:d0:64:7c;18:8b:9d:b3:cd:00;0;unknown;172.30.67.97
2021-02-02 17:16:15;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:53:e0;0;0602359705;172.30.104.158
2021-02-02 17:16:15;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:53:e0;0;0602359705;172.30.104.158
2021-02-02 17:16:02;Disassociated;40:e2:30:46:ee:25;d4:a0:2a:4b:2b:20;0;unknown;172.30.67.106;Disassociatedduetoinactivity;4;408l;272863l;576l;105830l
2021-02-02 17:16:02;Disassociated;40:e2:30:46:ee:25;d4:a0:2a:4b:2b:20;0;unknown;172.30.67.106;Disassociatedduetoinactivity;4;408l;272863l;576l;105830l
2021-02-02 17:16:02;Disassociated;40:e2:30:46:ee:25;d4:a0:2a:4b:2b:20;0;unknown;172.30.67.106;Disassociatedduetoinactivity;4
2021-02-02 17:15:56;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:15:56;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:15:54;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:2b:20;0;0602359705;172.30.104.158
2021-02-02 17:15:54;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:2b:20;0;0602359705;172.30.104.158
2021-02-02 17:15:45;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:15:45;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:15:45;Association;4c:66:41:eb:27:8a;5c:83:8f:ce:d5:90;0;unknown;unknown
2021-02-02 17:15:44;Association;fa:b9:76:9d:50:cd;d4:a0:2a:4b:53:e0;0;unknown;192.168.182.177
2021-02-02 17:15:32;Association;fa:b9:76:9d:50:cd;5c:83:8f:bf:29:00;0;unknown;192.168.182.177
2021-02-02 17:15:29;Association;46:97:70:14:eb:78;18:8b:9d:83:df:50;1;unknown;192.168.182.154
2021-02-02 17:15:21;Association;4a:cf:d9:29:bd:85;18:8b:9d:b3:cd:00;1;0602359705;172.30.104.204
2021-02-02 17:15:21;Association;4a:cf:d9:29:bd:85;18:8b:9d:b3:cd:00;1;0602359705;172.30.104.204
2021-02-02 17:15:20;Association;fa:b9:76:9d:50:cd;5c:83:8f:ac:52:c0;0;unknown;192.168.182.177
2021-02-02 17:15:17;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:15:17;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:15:17;Association;2c:0e:3d:d6:3a:f7;5c:83:8f:bf:2d:00;0;unknown;192.168.183.166
2021-02-02 17:15:16;Association;fa:b9:76:9d:50:cd;5c:83:8f:bf:29:00;1;unknown;192.168.182.177
2021-02-02 17:15:00;Association;bc:7f:a4:17:df:79;5c:83:8f:b6:c5:10;1;0602359705;172.30.104.158
2021-02-02 17:15:00;Association;bc:7f:a4:17:df:79;5c:83:8f:b6:c5:10;1;0602359705;172.30.104.158
2021-02-02 17:14:34;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:14:34;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:14:11;Association;fa:b9:76:9d:50:cd;5c:83:8f:bb:d4:70;0;unknown;192.168.182.177
2021-02-02 17:14:07;Association;fa:b9:76:9d:50:cd;ec:bd:1d:41:60:50;0;unknown;unknown
2021-02-02 17:13:54;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;1;unknown;172.30.67.41
2021-02-02 17:13:50;Disassociated;fa:b9:76:9d:50:cd;2c:36:f8:b9:f2:c0;0;unknown;192.168.182.177;Previousauthenticationnolongervalid;2;2192l;2802062l;1898l;153377l
2021-02-02 17:13:50;Disassociated;6c:72:e7:c2:b2:10;d4:a0:2a:4b:53:e0;0;unknown;unknown;4-WayHandshaketimeout;15;22l;6488l;28l;1962l
2021-02-02 17:13:43;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:13:43;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:13:30;Disassociated;fa:b9:76:9d:50:cd;2c:36:f8:b9:f2:c0;0;unknown;192.168.182.177;4-WayHandshaketimeout;15;2192l;2802062l;1898l;153377l
2021-02-02 17:13:27;Association;fa:b9:76:9d:50:cd;2c:36:f8:b9:f2:c0;0;unknown;192.168.182.177
2021-02-02 17:13:27;Association;fa:b9:76:9d:50:cd;2c:36:f8:b9:f2:c0;0;unknown;192.168.182.177
2021-02-02 17:13:17;Association;9c:da:3e:8a:d1:21;c4:14:3c:41:fe:f0;1;unknown;172.30.67.57
2021-02-02 17:13:16;Association;fa:b9:76:9d:50:cd;5c:83:8f:b6:93:c0;0;unknown;192.168.182.177
2021-02-02 17:13:03;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:13:03;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:12:54;Association;4c:66:41:eb:27:8a;5c:83:8f:bb:c6:d0;0;unknown;unknown
2021-02-02 17:12:51;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:2b:20;0;0602359705;172.30.104.158
2021-02-02 17:12:51;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:2b:20;0;0602359705;172.30.104.158
2021-02-02 17:12:48;Disassociated;4c:66:41:eb:27:8a;5c:83:8f:ce:d5:90;0;unknown;unknown;4-WayHandshaketimeout;15;1028l;486082l;73l;11102l
2021-02-02 17:12:45;Association;4c:66:41:eb:27:8a;5c:83:8f:ce:d5:90;0;unknown;unknown
2021-02-02 17:12:38;Association;34:e1:2d:5d:37:52;5c:83:8f:b6:c5:10;1;unknown;unknown
2021-02-02 17:12:35;Association;ec:d0:9f:2d:bb:6e;5c:83:8f:c2:14:60;0;0601878358;unknown
2021-02-02 17:12:30;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:12:30;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:12:13;Disassociated;ec:d0:9f:2d:bb:6e;5c:83:8f:b6:c2:10;0;unknown;unknown;IEEE802.1Xauthenticationfailed;23;171l;54181l;241l;35184l
2021-02-02 17:12:10;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;0;0602359705;172.30.104.204
2021-02-02 17:12:10;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;0;0602359705;172.30.104.204
2021-02-02 17:12:07;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;0;unknown;172.30.67.41
2021-02-02 17:12:02;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;1;0602359705;172.30.104.204
2021-02-02 17:12:02;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;1;0602359705;172.30.104.204
2021-02-02 17:11:56;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;1;unknown;172.30.67.41
2021-02-02 17:11:54;Association;fa:b9:76:9d:50:cd;ec:bd:1d:41:60:50;0;unknown;192.168.182.177
2021-02-02 17:11:53;Association;8a:80:85:39:33:00;5c:83:8f:ce:b5:f0;1;unknown;172.30.67.41
2021-02-02 17:11:51;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:53:e0;0;0602359705;172.30.104.158
2021-02-02 17:11:51;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:53:e0;0;0602359705;172.30.104.158
2021-02-02 17:11:46;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;0;0602359705;172.30.104.204
2021-02-02 17:11:46;Association;4a:cf:d9:29:bd:85;c4:14:3c:41:fe:f0;0;0602359705;172.30.104.204
2021-02-02 17:11:45;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:11:45;Association;18:87:40:e5:de:49;5c:83:8f:b6:c7:80;1;0601948813;172.30.104.167
2021-02-02 17:11:42;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:11:42;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:11:38;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;1;unknown;172.30.67.41
2021-02-02 17:11:34;Association;fa:b9:76:9d:50:cd;d4:a0:2a:4b:53:e0;0;unknown;192.168.182.177
2021-02-02 17:11:26;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;0;unknown;172.30.67.41
2021-02-02 17:11:24;Association;8a:80:85:39:33:00;5c:83:8f:ce:b5:f0;1;unknown;172.30.67.41
2021-02-02 17:11:24;Association;fa:b9:76:9d:50:cd;ec:bd:1d:41:60:50;0;unknown;192.168.182.177
2021-02-02 17:11:19;Association;bc:7f:a4:17:df:79;5c:83:8f:9f:9f:80;0;0602359705;172.30.104.158
2021-02-02 17:11:19;Association;bc:7f:a4:17:df:79;5c:83:8f:9f:9f:80;0;0602359705;172.30.104.158
2021-02-02 17:11:16;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:11:16;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:11:06;Association;fa:b9:76:9d:50:cd;5c:83:8f:bf:29:00;1;unknown;192.168.182.177
2021-02-02 17:10:49;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;1;unknown;172.30.67.41
2021-02-02 17:10:37;Association;bc:7f:a4:17:df:79;2c:36:f8:b9:aa:d0;1;0602359705;172.30.104.158
2021-02-02 17:10:37;Association;bc:7f:a4:17:df:79;2c:36:f8:b9:aa:d0;1;0602359705;172.30.104.158
2021-02-02 17:10:36;Association;40:e2:30:46:ee:25;d4:a0:2a:4b:2b:20;0;unknown;unknown
2021-02-02 17:10:34;Disassociated;a0:a8:cd:4f:a2:72;5c:83:8f:c1:eb:00;1;unknown;unknown;IEEE802.1Xauthenticationfailed;23;11l;3234l;13l;633l
2021-02-02 17:10:31;Disassociated;48:c7:96:64:8e:8b;ec:bd:1d:41:60:20;0;unknown;unknown;4-WayHandshaketimeout;15;0l;0l;0l;0l
2021-02-02 17:10:28;Association;48:c7:96:64:8e:8b;ec:bd:1d:41:60:20;0;unknown;unknown
2021-02-02 17:10:15;Association;bc:7f:a4:17:df:79;5c:83:8f:9f:9f:80;0;0602359705;172.30.104.158
2021-02-02 17:10:15;Association;bc:7f:a4:17:df:79;5c:83:8f:9f:9f:80;0;0602359705;172.30.104.158
2021-02-02 17:10:10;Association;bc:7f:a4:17:df:79;2c:36:f8:b9:aa:d0;1;0602359705;172.30.104.158
2021-02-02 17:10:10;Association;bc:7f:a4:17:df:79;2c:36:f8:b9:aa:d0;1;0602359705;172.30.104.158
2021-02-02 17:10:08;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;0;unknown;172.30.67.41
2021-02-02 17:10:05;Association;ec:d0:9f:2d:bb:6e;5c:83:8f:b6:c2:10;0;Pablouquillas;unknown
2021-02-02 17:10:01;Disassociated;ba:4d:b3:57:a8:52;18:8b:9d:83:df:50;1;unknown;192.168.182.160;Disassociatedduetoinactivity;4;17l;1740l;36l;2788l
2021-02-02 17:10:01;Disassociated;ba:4d:b3:57:a8:52;18:8b:9d:83:df:50;1;unknown;192.168.182.160;Disassociatedduetoinactivity;4;17l;1740l;36l;2788l
2021-02-02 17:10:01;Disassociated;ba:4d:b3:57:a8:52;18:8b:9d:83:df:50;1;unknown;192.168.182.160;Disassociatedduetoinactivity;4
2021-02-02 17:09:52;Association;bc:7f:a4:17:df:79;5c:83:8f:c1:eb:70;1;0602359705;172.30.104.158
2021-02-02 17:09:52;Association;bc:7f:a4:17:df:79;5c:83:8f:c1:eb:70;1;0602359705;172.30.104.158
2021-02-02 17:09:43;Association;c0:dc:da:f0:d2:13;18:8b:9d:b3:cd:00;1;0603822172;172.30.104.252
2021-02-02 17:09:43;Association;c0:dc:da:f0:d2:13;18:8b:9d:b3:cd:00;1;0603822172;172.30.104.252
2021-02-02 17:09:42;Association;bc:7f:a4:17:df:79;5c:83:8f:9f:9f:80;0;0602359705;172.30.104.158
2021-02-02 17:09:42;Association;bc:7f:a4:17:df:79;5c:83:8f:9f:9f:80;0;0602359705;172.30.104.158
2021-02-02 17:09:39;Association;44:91:60:9b:04:71;5c:83:8f:d7:e4:80;0;0602359705;172.30.104.172
2021-02-02 17:09:39;Association;44:91:60:9b:04:71;5c:83:8f:d7:e4:80;0;0602359705;172.30.104.172
2021-02-02 17:09:31;Association;6a:2f:d1:0a:9b:27;5c:83:8f:b6:96:f0;1;0603822172;unknown
2021-02-02 17:09:20;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:09:20;Association;bc:7f:a4:17:df:79;ec:bd:1d:52:79:d0;0;0602359705;172.30.104.158
2021-02-02 17:09:19;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;1;unknown;172.30.67.41
2021-02-02 17:09:14;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:58:70;1;0602359705;172.30.104.158
2021-02-02 17:09:14;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:58:70;1;0602359705;172.30.104.158
2021-02-02 17:09:11;Association;ec:d0:9f:2d:bb:6e;5c:83:8f:b6:c2:10;0;0601878358;unknown
2021-02-02 17:09:10;Association;8a:80:85:39:33:00;5c:83:8f:ce:b5:f0;1;unknown;172.30.67.41
2021-02-02 17:08:43;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;1;unknown;172.30.67.41
2021-02-02 17:08:37;Association;bc:7f:a4:17:df:79;5c:83:8f:c1:eb:00;0;0602359705;172.30.104.158
2021-02-02 17:08:37;Association;bc:7f:a4:17:df:79;5c:83:8f:c1:eb:00;0;0602359705;172.30.104.158
2021-02-02 17:08:33;Association;8a:80:85:39:33:00;5c:83:8f:d7:e4:80;0;unknown;172.30.67.41
2021-02-02 17:08:33;Association;7c:23:02:93:e1:0c;d4:a0:2a:4b:2b:20;0;unknown;172.30.67.96
2021-02-02 17:08:31;Association;8a:80:85:39:33:00;5c:83:8f:b6:96:f0;1;unknown;172.30.67.41
2021-02-02 17:08:30;Association;bc:7f:a4:17:df:79;5c:83:8f:ce:d7:60;0;0602359705;172.30.104.158
2021-02-02 17:08:30;Association;bc:7f:a4:17:df:79;5c:83:8f:ce:d7:60;0;0602359705;172.30.104.158
2021-02-02 17:08:26;Association;8a:80:85:39:33:00;5c:83:8f:b6:c5:10;1;unknown;172.30.67.41
2021-02-02 17:08:23;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:46:d0;0;0602359705;172.30.104.158
2021-02-02 17:08:23;Association;bc:7f:a4:17:df:79;d4:a0:2a:4b:46:d0;0;0602359705;172.30.104.158
2021-02-02 17:08:09;Association;c0:dc:da:f0:d2:13;18:8b:9d:b3:cd:00;0;0603822172;172.30.104.252
2021-02-02 17:08:09;Association;c0:dc:da:f0:d2:13;18:8b:9d:b3:cd:00;0;0603822172;172.30.104.252
2021-02-02 17:08:06;Association;c0:dc:da:f0:d2:13;d4:a0:2a:4b:2b:20;0;0603822172;172.30.104.252
2021-02-02 17:08:06;Association;c0:dc:da:f0:d2:13;d4:a0:2a:4b:2b:20;0;0603822172;172.30.104.252
2021-02-02 17:08:01;Association;bc:7f:a4:17:df:79;ec:bd:1d:41:73:50;0;0602359705;172.30.104.158
2021-02-02 17:08:01;Association;bc:7f:a4:17:df:79;ec:bd:1d:41:73:50;0;0602359705;172.30.104.158
2021-02-02 17:07:27;Association;7c:23:02:93:e1:0c;18:8b:9d:b3:cd:00;0;unknown;172.30.67.96
2021-02-02 17:07:26;Association;7c:23:02:93:e1:0c;18:8b:9d:b3:cd:00;0;unknown;172.30.67.96
2021-02-02 17:07:21;Association;bc:7f:a4:17:df:79;ec:bd:1d:41:73:50;1;0602359705;172.30.104.158
2021-02-02 17:07:21;Association;bc:7f:a4:17:df:79;ec:bd:1d:41:73:50;1;0602359705;172.30.104.158
2021-02-02 17:07:15;Association;7c:23:02:93:e1:0c;d4:a0:2a:4b:2b:20;0;unknown;172.30.67.96
2021-02-02 17:07:10;Association;c0:dc:da:f0:d2:13;18:8b:9d:b3:cd:00;1;0603822172;172.30.104.252
