Fecha;IP;Status;Position
2021-02-02 17:16:00;192.168.150.237:1813;activated;globallist
2021-02-02 17:16:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:16:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:15:17;192.168.150.237:1813;activated;globallist
2021-02-02 17:15:17;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:15:17;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:14:00;192.168.150.237:1813;activated;globallist
2021-02-02 17:14:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:14:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:12:45;192.168.150.237:1813;activated;globallist
2021-02-02 17:12:45;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:12:45;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:12:21;192.168.150.237:1813;activated;globallist
2021-02-02 17:12:21;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:12:21;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:12:00;192.168.150.237:1813;activated;globallist
2021-02-02 17:12:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:12:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:11:43;192.168.150.237:1813;activated;globallist
2021-02-02 17:11:43;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:11:43;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:11:20;192.168.150.237:1813;activated;globallist
2021-02-02 17:11:20;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:11:20;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:10:10;192.168.150.237:1813;activated;globallist
2021-02-02 17:10:10;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:10:10;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:09:45;192.168.150.237:1813;activated;globallist
2021-02-02 17:09:45;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:09:45;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:09:24;192.168.150.237:1813;activated;globallist
2021-02-02 17:09:24;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:09:24;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:08:35;192.168.150.237:1813;activated;globallist
2021-02-02 17:08:35;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:08:35;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:07:29;192.168.150.237:1813;activated;globallist
2021-02-02 17:07:29;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:07:29;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:06:50;192.168.150.237:1813;activated;globallist
2021-02-02 17:06:50;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:06:50;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:06:02;192.168.150.237:1813;activated;globallist
2021-02-02 17:06:02;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:06:02;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:05:27;192.168.150.237:1813;activated;globallist
2021-02-02 17:05:27;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:05:27;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:04:45;192.168.150.237:1813;activated;globallist
2021-02-02 17:04:45;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:04:45;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:04:08;192.168.150.237:1813;activated;globallist
2021-02-02 17:04:08;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:04:08;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:03:18;192.168.150.237:1813;activated;globallist
2021-02-02 17:03:18;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:03:18;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:02:22;192.168.150.237:1813;activated;globallist
2021-02-02 17:02:22;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:02:22;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:01:23;192.168.150.237:1813;activated;globallist
2021-02-02 17:01:23;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:01:23;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:00:29;192.168.150.237:1813;activated;globallist
2021-02-02 17:00:29;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:00:29;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:00:18;192.168.150.237:1813;activated;globallist
2021-02-02 17:00:18;192.168.150.238:1813;deactivated;globallist
2021-02-02 17:00:18;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:59:48;192.168.150.237:1813;activated;globallist
2021-02-02 16:59:48;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:59:48;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:59:40;192.168.150.237:1813;activated;globallist
2021-02-02 16:59:40;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:59:40;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:59:12;192.168.150.237:1813;activated;globallist
2021-02-02 16:59:12;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:59:12;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:59:00;192.168.150.237:1813;activated;globallist
2021-02-02 16:59:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:59:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:58:42;192.168.150.237:1813;activated;globallist
2021-02-02 16:58:42;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:58:42;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:58:11;192.168.150.237:1813;activated;globallist
2021-02-02 16:58:11;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:58:11;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:57:46;192.168.150.237:1813;activated;globallist
2021-02-02 16:57:46;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:57:46;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:57:32;192.168.150.237:1813;activated;globallist
2021-02-02 16:57:32;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:57:32;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:57:00;192.168.150.237:1813;activated;globallist
2021-02-02 16:57:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:57:00;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:56:39;192.168.150.237:1813;activated;globallist
2021-02-02 16:56:39;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:56:39;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:56:29;192.168.150.237:1813;activated;globallist
2021-02-02 16:56:29;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:56:29;192.168.150.238:1813;deactivated;globallist
