Fecha;APBaseRadioMAC;IPAddress;MACAddress
2021-02-02 17:16:25;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-02-02 17:16:13;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-02-02 17:16:04;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-02-02 17:16:04;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-02-02 17:15:54;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-02-02 17:15:43;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-02-02 17:15:34;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-02-02 17:15:34;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-02-02 17:15:24;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-02-02 17:15:12;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-02-02 17:15:04;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-02-02 17:15:03;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-02-02 17:14:54;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-02-02 17:14:41;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-02-02 17:14:34;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-02-02 17:14:33;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-02-02 17:14:24;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-02-02 17:14:11;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-02-02 17:14:04;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-02-02 17:14:03;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-02-02 17:13:54;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-02-02 17:13:41;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-02-02 17:13:34;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-02-02 17:13:32;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-02-02 17:13:24;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-02-02 17:13:10;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-02-02 17:13:04;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-02-02 17:13:02;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-02-02 17:12:54;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
